Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.18352000e-06,-1.00812500e+01,7.88046875e+02,-8.98437500e-01,7.65625000e-01,,-2.18352000e-06,-5.90666787e-05
-2.18192000e-06,-1.00343750e+01,7.91250000e+02,-9.68750000e-01,6.56250000e-01,,-2.18192000e-06,-6.02463078e-05
-2.18032000e-06,-1.00031250e+01,7.94140625e+02,-1.05468750e+00,3.35937500e-01,,-2.18032000e-06,-6.15295794e-05
-2.17872000e-06,-1.00671875e+01,7.90468750e+02,-1.04687500e+00,1.10156250e+00,,-2.17872000e-06,-6.28616544e-05
-2.17712000e-06,-1.00328125e+01,7.91562500e+02,-7.81250000e-01,8.28125000e-01,,-2.17712000e-06,-6.40184007e-05
-2.17552000e-06,-1.00296875e+01,7.91484375e+02,-8.90625000e-01,2.34375000e-02,,-2.17552000e-06,-6.50770598e-05
-2.17392000e-06,-1.01000000e+01,7.89765625e+02,-9.76562500e-01,7.26562500e-01,,-2.17392000e-06,-6.62579987e-05
-2.17232000e-06,-1.01296875e+01,7.91328125e+02,-5.93750000e-01,8.90625000e-01,,-2.17232000e-06,-6.72508831e-05
-2.17072000e-06,-1.00781250e+01,7.91406250e+02,-5.07812500e-01,6.01562500e-01,,-2.17072000e-06,-6.79482764e-05
-2.16912000e-06,-1.00093750e+01,7.96250000e+02,-9.92187500e-01,6.32812500e-01,,-2.16912000e-06,-6.89018052e-05
-2.16752000e-06,-1.01250000e+01,7.93437500e+02,-5.78125000e-01,9.37500000e-01,,-2.16752000e-06,-6.99007942e-05
-2.16592000e-06,-1.01390625e+01,7.91562500e+02,-5.15625000e-01,7.89062500e-01,,-2.16592000e-06,-7.05942803e-05
-2.16432000e-06,-1.00750000e+01,7.92890625e+02,-8.51562500e-01,1.02343750e+00,,-2.16432000e-06,-7.14609560e-05
-2.16272000e-06,-1.00343750e+01,7.89843750e+02,-6.95312500e-01,9.06250000e-01,,-2.16272000e-06,-7.24404599e-05
-2.16112000e-06,-1.01312500e+01,7.91562500e+02,-5.00000000e-01,1.10156250e+00,,-2.16112000e-06,-7.31964319e-05
-2.15952000e-06,-1.00640625e+01,7.93359375e+02,-6.95312500e-01,5.31250000e-01,,-2.15952000e-06,-7.39543611e-05
-2.15792000e-06,-1.00765625e+01,7.92109375e+02,-7.57812500e-01,1.14062500e+00,,-2.15792000e-06,-7.48758830e-05
-2.15632000e-06,-1.00359375e+01,7.90781250e+02,-5.85937500e-01,9.21875000e-01,,-2.15632000e-06,-7.57267771e-05
-2.15472000e-06,-1.00515625e+01,7.95156250e+02,-8.28125000e-01,6.32812500e-01,,-2.15472000e-06,-7.66242447e-05
-2.15312000e-06,-1.00531250e+01,7.90703125e+02,-7.42187500e-01,1.39062500e+00,,-2.15312000e-06,-7.76205125e-05
-2.15152000e-06,-1.00484375e+01,7.92890625e+02,-7.81250000e-01,4.60937500e-01,,-2.15152000e-06,-7.85855518e-05
-2.14992000e-06,-1.00343750e+01,7.90312500e+02,-1.01562500e+00,6.87500000e-01,,-2.14992000e-06,-7.97232351e-05
-2.14832000e-06,-9.96406250e+00,7.95859375e+02,-8.75000000e-01,7.57812500e-01,,-2.14832000e-06,-8.09224657e-05
-2.14672000e-06,-1.00312500e+01,7.92812500e+02,-9.06250000e-01,7.65625000e-01,,-2.14672000e-06,-8.20543573e-05
-2.14512000e-06,-1.00312500e+01,7.89531250e+02,-8.59375000e-01,1.02343750e+00,,-2.14512000e-06,-8.31719517e-05
-2.14352000e-06,-1.01046875e+01,7.97265625e+02,-1.42187500e+00,8.35937500e-01,,-2.14352000e-06,-8.46216426e-05
-2.14192000e-06,-1.01390625e+01,7.94531250e+02,-8.20312500e-01,9.60937500e-01,,-2.14192000e-06,-8.60499422e-05
-2.14032000e-06,-1.00875000e+01,7.91718750e+02,-7.73437500e-01,1.14843750e+00,,-2.14032000e-06,-8.70612275e-05
-2.13872000e-06,-1.01093750e+01,7.97265625e+02,-8.35937500e-01,1.07812500e+00,,-2.13872000e-06,-8.80842781e-05
-2.13712000e-06,-1.00500000e+01,7.91718750e+02,-6.71875000e-01,1.08593750e+00,,-2.13712000e-06,-8.90430019e-05
-2.13552000e-06,-1.00812500e+01,7.88750000e+02,-8.67187500e-01,8.35937500e-01,,-2.13552000e-06,-9.00157465e-05
-2.13392000e-06,-1.00843750e+01,7.92109375e+02,-6.32812500e-01,5.39062500e-01,,-2.13392000e-06,-9.09639493e-05
-2.13232000e-06,-1.00765625e+01,7.89687500e+02,-8.98437500e-01,9.53125000e-01,,-2.13232000e-06,-9.19325394e-05
-2.13072000e-06,-1.00562500e+01,7.90312500e+02,-7.73437500e-01,8.35937500e-01,,-2.13072000e-06,-9.29891321e-05
-2.12912000e-06,-1.00453125e+01,7.92500000e+02,-1.00000000e+00,5.39062500e-01,,-2.12912000e-06,-9.41121398e-05
-2.12752000e-06,-1.00437500e+01,7.87265625e+02,-1.07812500e+00,1.07812500e+00,,-2.12752000e-06,-9.54251591e-05
-2.12592000e-06,-1.00921875e+01,7.90000000e+02,-1.14062500e+00,9.92187500e-01,,-2.12592000e-06,-9.68250533e-05
-2.12432000e-06,-1.00156250e+01,7.88593750e+02,-2.89062500e-01,6.87500000e-01,,-2.12432000e-06,-9.77282907e-05
-2.12272000e-06,-1.00593750e+01,7.92109375e+02,-4.92187500e-01,1.05468750e+00,,-2.12272000e-06,-9.82225465e-05
-2.12112000e-06,-1.00906250e+01,7.89531250e+02,-7.26562500e-01,8.59375000e-01,,-2.12112000e-06,-9.89933542e-05
-2.11952000e-06,-1.00406250e+01,7.88203125e+02,-5.07812500e-01,9.21875000e-01,,-2.11952000e-06,-9.97724783e-05
-2.11792000e-06,-1.01250000e+01,7.87812500e+02,-7.89062500e-01,1.54687500e+00,,-2.11792000e-06,-1.00589990e-04
-2.11632000e-06,-1.01406250e+01,7.90234375e+02,-4.21875000e-01,1.07812500e+00,,-2.11632000e-06,-1.01354002e-04
-2.11472000e-06,-9.99843750e+00,7.91953125e+02,-4.21875000e-01,1.56250000e+00,,-2.11472000e-06,-1.01887992e-04
-2.11312000e-06,-1.00437500e+01,7.93906250e+02,-4.45312500e-01,9.14062500e-01,,-2.11312000e-06,-1.02438105e-04
-2.11152000e-06,-1.00968750e+01,7.89609375e+02,-5.15625000e-01,8.67187500e-01,,-2.11152000e-06,-1.03046652e-04
-2.10992000e-06,-1.00328125e+01,7.91015625e+02,-3.59375000e-01,8.59375000e-01,,-2.10992000e-06,-1.03599785e-04
-2.10832000e-06,-1.00484375e+01,7.98125000e+02,-2.81250000e-01,7.89062500e-01,,-2.10832000e-06,-1.04006780e-04
-2.10672000e-06,-1.00656250e+01,7.93281250e+02,-5.23437500e-01,1.18750000e+00,,-2.10672000e-06,-1.04518542e-04
-2.10512000e-06,-1.00625000e+01,7.96875000e+02,-4.60937500e-01,1.34375000e+00,,-2.10512000e-06,-1.05144572e-04
