Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.21152000e-06,-1.00765625e+01,1.18914062e+03,-4.92187500e-01,5.46875000e-01,,-2.21152000e-06,-2.34338713e-05
-2.20992000e-06,-1.01109375e+01,1.19132812e+03,-3.51562500e-01,1.50000000e+00,,-2.20992000e-06,-2.42371570e-05
-2.20832000e-06,-1.00968750e+01,1.19093750e+03,-5.15625000e-01,1.09375000e+00,,-2.20832000e-06,-2.50634803e-05
-2.20672000e-06,-1.01343750e+01,1.18953125e+03,-7.10937500e-01,1.23437500e+00,,-2.20672000e-06,-2.62312878e-05
-2.20512000e-06,-1.00703125e+01,1.18929688e+03,-8.90625000e-01,9.21875000e-01,,-2.20512000e-06,-2.77552081e-05
-2.20352000e-06,-1.00187500e+01,1.19085938e+03,-5.15625000e-01,1.10156250e+00,,-2.20352000e-06,-2.90938115e-05
-2.20192000e-06,-1.00140625e+01,1.19062500e+03,-6.09375000e-01,7.26562500e-01,,-2.20192000e-06,-3.01654709e-05
-2.20032000e-06,-1.00890625e+01,1.19023438e+03,-4.29687500e-01,6.25000000e-01,,-2.20032000e-06,-3.11550430e-05
-2.19872000e-06,-1.00718750e+01,1.18921875e+03,-2.10937500e-01,8.75000000e-01,,-2.19872000e-06,-3.17648664e-05
-2.19712000e-06,-1.01062500e+01,1.18953125e+03,-5.15625000e-01,7.65625000e-01,,-2.19712000e-06,-3.24562279e-05
-2.19552000e-06,-1.00671875e+01,1.18812500e+03,-5.85937500e-01,5.78125000e-01,,-2.19552000e-06,-3.35038421e-05
-2.19392000e-06,-1.01375000e+01,1.19234375e+03,-5.85937500e-01,1.24218750e+00,,-2.19392000e-06,-3.46196866e-05
-2.19232000e-06,-1.01171875e+01,1.18976562e+03,-5.39062500e-01,1.22656250e+00,,-2.19232000e-06,-3.56916826e-05
-2.19072000e-06,-1.00656250e+01,1.19398438e+03,-8.59375000e-02,1.10937500e+00,,-2.19072000e-06,-3.62868559e-05
